;precision    ;recall;  f1-score;   support;
       False ;0.87      ;0.36      ;0.51      ;878;
        True ;0.16      ;0.71      ;0.27      ;156;
;;;;;
    accuracy ;          ;          ;0.41      ;1034;
   macro avg ;0.52      ;0.53      ;0.39      ;1034;
weighted avg ;0.77      ;0.41      ;0.47      ;1034;
;      ;;;;
