;precision    ;recall;  f1-score;   support;
       False ;0.89      ;0.39      ;0.54      ;878;
        True ;0.18      ;0.73      ;0.28      ;156;
;;;;;
    accuracy ;          ;          ;0.44      ;1034;
   macro avg ;0.53      ;0.56      ;0.41      ;1034;
weighted avg ;0.78      ;0.44      ;0.50      ;1034;
;      ;;;;
