;precision    ;recall;  f1-score;   support;;precision    
       False ;0.87      ;0.69      ;0.77      ;878;       False ;
        True ;0.19      ;0.40      ;0.26      ;156;        True ;
;;;;;;
    accuracy ;          ;          ;0.64      ;1034;    accuracy ;
   macro avg ;0.53      ;0.55      ;0.51      ;1034;   macro avg ;
weighted avg ;0.76      ;0.64      ;0.69      ;1034;weighted avg ;
;      ;;;;;
