;precision    ;recall;  f1-score;   support;
       False ;0.88      ;0.39      ;0.54      ;878;
        True ;0.17      ;0.70      ;0.27      ;156;
;;;;;
    accuracy ;          ;          ;0.43      ;1034;
   macro avg ;0.52      ;0.54      ;0.40      ;1034;
weighted avg ;0.77      ;0.43      ;0.50      ;1034;
;      ;;;;
