; precision    ;recall; f1-score   ;support
       False  ;     0.85 ;0.35;      0.50      ;878
        True  ;     0.15 ;0.65;      0.25      ;156
;;;;
    accuracy  ;                   ;;      0.40      ;1034
   macro avg  ;     0.50;0.50;      0.37      ;1034
weighted avg  ;     0.74;0.40;      0.46      ;1034
