;precision    ;recall;  f1-score;   support;;
       False ;0.86      ;0.36      ;0.51      ;878;;
        True ;0.16      ;0.67      ;0.26      ;156;;
;;;;;;
    accuracy ;          ;          ;0.41      ;1034;;
   macro avg ;0.51      ;0.52      ;0.38      ;1034;;
weighted avg ;0.76      ;0.41      ;0.47      ;1034;;
;      ;;;;;
