;precision    ;recall;  f1-score;   support
       False ;0.86      ;0.34      ;0.49      ;878
        True ;0.16      ;0.70      ;0.26      ;156
;;;;
    accuracy ;          ;          ;0.40      ;1034
   macro avg ;0.51      ;0.52      ;0.37      ;1034
weighted avg ;0.76      ;0.40      ;0.46      ;1034
;      ;;;
