;precision    ;recall;  f1-score;   support;;precision    
       False ;0.87      ;0.40      ;0.55      ;878;       False ;
        True ;0.16      ;0.65      ;0.26      ;156;        True ;
;;;;;;
    accuracy ;          ;          ;0.44      ;1034;    accuracy ;
   macro avg ;0.52      ;0.53      ;0.41      ;1034;   macro avg ;
weighted avg ;0.76      ;0.44      ;0.51      ;1034;weighted avg ;
;      ;;;;;
