;precision    ;recall;  f1-score;   support;
       False ;0.84      ;0.45      ;0.59      ;878;
        True ;0.14      ;0.51      ;0.22      ;156;
;;;;;
    accuracy ;          ;          ;0.46      ;1034;
   macro avg ;0.49      ;0.48      ;0.40      ;1034;
weighted avg ;0.73      ;0.46      ;0.53      ;1034;
;      ;;;;
