;;;;;;
;;precision    ;recall;  f1-score;   support;
;       False ;0.87      ;0.50      ;0.64      ;878;
;        True ;0.17      ;0.57      ;0.26      ;156;
;;;;;;
;    accuracy ;          ;          ;0.51      ;1034;
;   macro avg ;0.52      ;0.54      ;0.45      ;1034;
;weighted avg ;0.76      ;0.51      ;0.58      ;1034;
