;precision    ;recall;  f1-score;   support;
       False ;0.85      ;0.69      ;0.76      ;878;
        True ;0.15      ;0.32      ;0.21      ;156;
;;;;;
    accuracy ;          ;          ;0.63      ;1034;
   macro avg ;0.50      ;0.50      ;0.49      ;1034;
weighted avg ;0.75      ;0.63      ;0.68      ;1034;
;      ;;;;
