;precision    ;recall;  f1-score;   support;
       False ;0.88      ;0.51      ;0.64      ;878;
        True ;0.18      ;0.60      ;0.27      ;156;
;;;;;
    accuracy ;          ;          ;0.52      ;1034;
   macro avg ;0.53      ;0.55      ;0.46      ;1034;
weighted avg ;0.77      ;0.52      ;0.59      ;1034;
;      ;;;;
