;precision    ;recall;  f1-score;   support;
       False ;0.85      ;0.68      ;0.76      ;878;
        True ;0.16      ;0.35      ;0.22      ;156;
;;;;;
    accuracy ;          ;          ;0.63      ;1034;
   macro avg ;0.51      ;0.51      ;0.49      ;1034;
weighted avg ;0.75      ;0.63      ;0.67      ;1034;
;      ;;;;
